               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  70,            0.028622,            0.020603,            0.019999,              0.6867,             0.94309,             0.89633,             0.68025,            0.027773,            0.020031,            0.018608,           0.0065845,           0.0065845,           0.0065845
                  71,            0.028859,             0.01974,            0.019714,             0.71877,             0.94675,             0.90117,              0.6601,            0.028421,            0.019867,            0.018273,            0.006535,            0.006535,            0.006535
                  72,            0.028101,            0.019038,             0.01933,             0.73117,             0.93124,             0.91052,              0.6641,             0.03014,            0.020028,            0.017705,           0.0064855,           0.0064855,           0.0064855
                  73,            0.028528,            0.019521,            0.018608,              0.7229,              0.9025,             0.90411,             0.66919,            0.029726,            0.020836,            0.016794,            0.006436,            0.006436,            0.006436
                  74,            0.028411,             0.02124,            0.018763,             0.69736,             0.88576,             0.87417,             0.66003,            0.027516,            0.020574,            0.016913,           0.0063865,           0.0063865,           0.0063865
                  75,            0.027908,            0.020259,            0.018141,             0.76273,             0.83134,             0.91048,             0.66751,            0.024981,            0.020865,            0.016445,            0.006337,            0.006337,            0.006337
                  76,            0.026352,            0.020037,            0.017723,             0.73795,             0.86366,             0.90863,             0.66431,            0.028472,            0.022541,            0.016542,           0.0062875,           0.0062875,           0.0062875
                  77,            0.027616,            0.020382,             0.01747,             0.83868,             0.90554,             0.93752,             0.71096,            0.030635,            0.019978,            0.015617,            0.006238,            0.006238,            0.006238
                  78,            0.029202,            0.019796,            0.016591,             0.83143,             0.82396,             0.92387,             0.69928,            0.025599,             0.01974,            0.015104,           0.0061885,           0.0061885,           0.0061885
                  79,            0.026801,            0.021274,            0.015871,             0.87055,             0.82984,             0.93396,             0.68549,            0.030145,            0.020102,            0.014901,            0.006139,            0.006139,            0.006139
                  80,            0.026579,            0.018733,            0.016656,             0.81821,             0.85241,             0.90559,              0.6747,            0.026378,             0.02251,            0.014929,           0.0060895,           0.0060895,           0.0060895
                  81,            0.027515,            0.020263,            0.016076,             0.78098,             0.92645,             0.93767,             0.68834,            0.027328,            0.019647,             0.01447,             0.00604,             0.00604,             0.00604
                  82,            0.026789,            0.018339,            0.015674,             0.75775,             0.88652,             0.92002,             0.67838,            0.025777,            0.020513,            0.015789,           0.0059905,           0.0059905,           0.0059905
                  83,            0.026621,            0.019827,            0.015217,             0.85768,             0.91015,             0.93923,             0.70225,            0.027536,             0.01974,            0.013453,            0.005941,            0.005941,            0.005941
                  84,            0.025989,             0.01957,            0.014923,             0.87618,             0.88783,             0.94611,             0.73688,            0.026256,            0.018659,             0.01323,           0.0058915,           0.0058915,           0.0058915
                  85,            0.028588,             0.01915,            0.015203,             0.87745,             0.92774,             0.94887,             0.71884,            0.027498,            0.020205,            0.013287,            0.005842,            0.005842,            0.005842
                  86,            0.026963,             0.01939,            0.015905,             0.86209,             0.89348,             0.94099,             0.71701,            0.023777,            0.022165,            0.013799,           0.0057925,           0.0057925,           0.0057925
                  87,            0.025062,            0.020334,            0.014277,             0.83765,             0.89128,             0.93327,             0.70161,             0.02632,            0.021421,            0.014273,            0.005743,            0.005743,            0.005743
                  88,            0.026251,            0.019484,            0.013574,             0.89367,              0.8989,             0.95273,             0.71233,            0.025856,            0.020641,             0.01299,           0.0056935,           0.0056935,           0.0056935
                  89,            0.027818,            0.019517,            0.013017,             0.82087,             0.90713,             0.94639,             0.70215,            0.024751,            0.020547,            0.013207,            0.005644,            0.005644,            0.005644
                  90,            0.026187,            0.020034,            0.012168,             0.89058,             0.89931,             0.93147,             0.68319,            0.026997,            0.020329,            0.011393,           0.0055945,           0.0055945,           0.0055945
                  91,            0.026411,            0.019681,             0.01188,             0.85051,             0.89369,             0.93891,             0.68629,            0.026237,            0.018824,             0.01122,            0.005545,            0.005545,            0.005545
                  92,            0.027235,            0.018245,             0.01156,             0.83963,             0.92011,             0.94371,             0.71766,            0.028571,            0.018798,            0.011184,           0.0054955,           0.0054955,           0.0054955
                  93,            0.028281,            0.019208,            0.011535,             0.88695,             0.91756,             0.94521,             0.70793,            0.025523,            0.019402,           0.0099089,            0.005446,            0.005446,            0.005446
                  94,            0.026885,            0.019858,             0.01222,             0.92966,             0.90161,             0.95445,             0.71273,            0.026751,            0.019985,           0.0095781,           0.0053965,           0.0053965,           0.0053965
                  95,            0.026452,            0.018349,            0.010153,              0.9217,             0.86783,             0.95399,              0.7174,            0.025788,            0.021392,           0.0093596,            0.005347,            0.005347,            0.005347
                  96,            0.024986,             0.01846,           0.0088783,             0.88404,             0.89657,             0.96445,             0.73618,            0.022811,            0.020128,           0.0090014,           0.0052975,           0.0052975,           0.0052975
                  97,            0.026514,            0.019039,           0.0095639,             0.91669,             0.94077,             0.95767,             0.69785,            0.029628,            0.019999,           0.0078844,            0.005248,            0.005248,            0.005248
                  98,            0.028134,            0.018239,           0.0081045,             0.90177,             0.93627,             0.95568,             0.72509,            0.024803,            0.019962,           0.0077459,           0.0051985,           0.0051985,           0.0051985
                  99,            0.025558,            0.017606,           0.0075465,             0.88198,             0.92422,             0.96238,             0.72978,            0.024947,            0.019334,           0.0075159,            0.005149,            0.005149,            0.005149
                 100,            0.026951,            0.017705,           0.0078638,              0.8916,             0.93543,             0.96396,             0.74137,            0.025289,            0.018968,           0.0073651,           0.0050995,           0.0050995,           0.0050995
                 101,             0.02531,            0.019723,           0.0080308,              0.9207,             0.94739,             0.97027,             0.73143,            0.026021,            0.019035,           0.0069603,             0.00505,             0.00505,             0.00505
                 102,            0.025762,            0.018795,           0.0080242,             0.92156,             0.93454,             0.96939,               0.759,            0.023043,             0.01818,           0.0068862,           0.0050005,           0.0050005,           0.0050005
                 103,            0.024906,            0.018334,           0.0076584,             0.88871,             0.95964,             0.97209,             0.77133,            0.023226,            0.018594,           0.0068235,            0.004951,            0.004951,            0.004951
                 104,            0.024592,            0.019027,           0.0076997,             0.89849,              0.9508,             0.96827,             0.73979,             0.02414,            0.018972,           0.0065186,           0.0049015,           0.0049015,           0.0049015
                 105,            0.024729,            0.019048,           0.0077814,             0.91529,             0.92509,             0.96622,             0.73548,            0.024695,            0.019613,           0.0074475,            0.004852,            0.004852,            0.004852
                 106,            0.025764,            0.018058,           0.0074003,             0.93644,             0.96697,             0.97342,             0.75343,            0.023638,            0.019485,           0.0063343,           0.0048025,           0.0048025,           0.0048025
                 107,             0.02423,             0.01789,           0.0068831,              0.9129,             0.92128,             0.97359,             0.75721,            0.023202,             0.01971,            0.006453,            0.004753,            0.004753,            0.004753
                 108,            0.022354,            0.018783,           0.0063217,              0.9117,             0.93481,             0.97666,             0.76132,            0.025316,            0.019193,           0.0056305,           0.0047035,           0.0047035,           0.0047035
                 109,            0.024458,            0.018479,           0.0054921,              0.9376,             0.95079,               0.972,             0.75515,            0.024692,            0.019241,           0.0049908,            0.004654,            0.004654,            0.004654
                 110,            0.024559,            0.016901,           0.0060295,             0.94756,             0.94077,             0.97238,             0.74616,            0.025217,            0.019377,           0.0053667,           0.0046045,           0.0046045,           0.0046045
                 111,            0.024638,            0.017626,           0.0056128,             0.92865,             0.94392,             0.97435,             0.75383,            0.022637,            0.018473,           0.0055661,            0.004555,            0.004555,            0.004555
                 112,            0.024574,            0.017664,           0.0074941,             0.93251,             0.98595,             0.97769,             0.76714,            0.024324,            0.018112,           0.0051038,           0.0045055,           0.0045055,           0.0045055
                 113,            0.023592,            0.016773,           0.0060633,             0.94098,             0.96376,             0.97618,             0.76223,            0.025261,            0.018679,           0.0049373,            0.004456,            0.004456,            0.004456
                 114,            0.023981,            0.016422,           0.0055708,             0.93126,             0.95463,             0.97217,             0.76235,            0.024076,            0.019242,           0.0051996,           0.0044065,           0.0044065,           0.0044065
                 115,            0.022696,            0.018598,           0.0058599,             0.93528,             0.98727,             0.97813,              0.7719,            0.021552,            0.017789,           0.0044088,            0.004357,            0.004357,            0.004357
                 116,            0.023449,             0.01672,           0.0058106,             0.93607,             0.96491,             0.97704,             0.77109,            0.022975,            0.017457,           0.0044543,           0.0043075,           0.0043075,           0.0043075
                 117,            0.023601,            0.017739,           0.0050599,             0.95504,             0.96584,             0.97546,             0.74189,            0.025189,            0.019006,           0.0040292,            0.004258,            0.004258,            0.004258
                 118,            0.023509,            0.019051,           0.0051586,             0.95151,             0.96159,             0.97677,             0.77125,            0.022479,            0.017677,           0.0038508,           0.0042085,           0.0042085,           0.0042085
                 119,             0.02365,            0.017131,           0.0056675,             0.94736,             0.96853,             0.98201,             0.76609,            0.021089,            0.017712,           0.0036105,            0.004159,            0.004159,            0.004159
                 120,            0.021226,            0.017432,           0.0053437,             0.95305,              0.9642,             0.98311,             0.77146,            0.023351,            0.018106,           0.0035585,           0.0041095,           0.0041095,           0.0041095
                 121,             0.02256,            0.016563,           0.0042549,             0.95325,             0.98291,             0.98218,             0.77422,             0.02163,             0.01844,           0.0035789,             0.00406,             0.00406,             0.00406
